username,skill,experience,level,rank,time_retrieved
IROneManClan,Firemaking,5372955,90,305751,2024-11-15 03:11:50
IROneManClan,Crafting,6147695,91,257725,2024-11-15 03:11:50
IROneManClan,Smithing,8592991,94,259131,2024-11-15 03:11:50
IROneManClan,Mining,11879618,98,236878,2024-11-15 03:11:50
IROneManClan,Herblore,23850615,105,141142,2024-11-15 03:11:50
IROneManClan,Agility,7369617,93,232261,2024-11-15 03:11:50
IROneManClan,Thieving,3450312,85,247774,2024-11-15 03:11:50
IROneManClan,Slayer,13381341,99,213127,2024-11-15 03:11:50
IROneManClan,Farming,774099,70,331958,2024-11-15 03:11:50
IROneManClan,Runecrafting,2425047,82,255038,2024-11-15 03:11:50
IROneManClan,Hunter,3444213,85,246692,2024-11-15 03:11:50
IROneManClan,Construction,8229587,94,210543,2024-11-15 03:11:50
IROneManClan,Summoning,13166424,99,197212,2024-11-15 03:11:50
IROneManClan,Dungeoneering,8445857,94,218184,2024-11-15 03:11:50
IROneManClan,Divination,2129737,80,319925,2024-11-15 03:11:50
IROneManClan,Invention,1060547,42,290731,2024-11-15 03:11:50
IROneManClan,Archaeology,8153604,94,180140,2024-11-15 03:11:50
IROneManClan,Necromancy,28661626,106,86644,2024-11-15 03:11:50
0verheated,Overall,1419490362,3031,34990,2024-11-15 03:11:50
0verheated,Attack,74356642,116,40123,2024-11-15 03:11:50
0verheated,Defence,34181625,108,100263,2024-11-15 03:11:50
0verheated,Strength,18381158,102,131658,2024-11-15 03:11:50
0verheated,Constitution,94238872,118,65428,2024-11-15 03:11:50
0verheated,Ranged,71065300,116,55721,2024-11-15 03:11:50
0verheated,Prayer,14962925,100,127755,2024-11-15 03:11:50
0verheated,Magic,80368390,117,56435,2024-11-15 03:11:50
0verheated,Cooking,15378282,100,109219,2024-11-15 03:11:50
0verheated,Woodcutting,38810932,110,39278,2024-11-15 03:11:50
0verheated,Fletching,15686779,100,86207,2024-11-15 03:11:50
0verheated,Fishing,14829153,100,162272,2024-11-15 03:11:50
0verheated,Firemaking,15784726,100,122607,2024-11-15 03:11:50
0verheated,Crafting,16558503,101,97089,2024-11-15 03:11:50
0verheated,Smithing,39210488,110,45268,2024-11-15 03:11:50
0verheated,Mining,39142751,110,63123,2024-11-15 03:11:50
0verheated,Herblore,105988833,120,66384,2024-11-15 03:11:50
0verheated,Agility,15879332,100,117430,2024-11-15 03:11:50
0verheated,Thieving,17740568,102,99320,2024-11-15 03:11:50
0verheated,Slayer,124215718,120,34888,2024-11-15 03:11:50
0verheated,Farming,84784483,117,76185,2024-11-15 03:11:50
0verheated,Runecrafting,15556555,100,81648,2024-11-15 03:11:50
0verheated,Hunter,16619808,101,97322,2024-11-15 03:11:50
0verheated,Construction,16977656,101,89974,2024-11-15 03:11:50
0verheated,Summoning,15392342,100,86496,2024-11-15 03:11:50
0verheated,Dungeoneering,106603105,120,55086,2024-11-15 03:11:50
0verheated,Divination,14768191,100,115363,2024-11-15 03:11:50
0verheated,Invention,123807182,133,57643,2024-11-15 03:11:50
0verheated,Archaeology,63416081,114,94339,2024-11-15 03:11:50
0verheated,Necromancy,114783982,120,29165,2024-11-15 03:11:50
Dash 2,Overall,2622284759,3040,18958,2024-11-15 03:11:50
Dash 2,Attack,47223307,112,55599,2024-11-15 03:11:50
Dash 2,Defence,29705562,107,109694,2024-11-15 03:11:50
Dash 2,Strength,28999612,107,81873,2024-11-15 03:11:50
Dash 2,Constitution,74238550,116,79690,2024-11-15 03:11:50
