username,skill,experience,level,rank,time_retrieved
IROneManClan,Farming,774099,70,331954,2024-11-15 03:03:55
IROneManClan,Runecrafting,2425047,82,255035,2024-11-15 03:03:55
IROneManClan,Hunter,3444213,85,246688,2024-11-15 03:03:55
IROneManClan,Construction,8229587,94,210540,2024-11-15 03:03:55
IROneManClan,Summoning,13166424,99,197208,2024-11-15 03:03:55
IROneManClan,Dungeoneering,8445857,94,218181,2024-11-15 03:03:55
IROneManClan,Divination,2129737,80,319921,2024-11-15 03:03:55
IROneManClan,Invention,1060547,42,290728,2024-11-15 03:03:55
IROneManClan,Archaeology,8153604,94,180138,2024-11-15 03:03:55
IROneManClan,Necromancy,28661626,106,86641,2024-11-15 03:03:55
0verheated,Overall,1419490362,3031,34989,2024-11-15 03:03:55
0verheated,Attack,74356642,116,40123,2024-11-15 03:03:55
0verheated,Defence,34181625,108,100262,2024-11-15 03:03:55
0verheated,Strength,18381158,102,131656,2024-11-15 03:03:55
0verheated,Constitution,94238872,118,65427,2024-11-15 03:03:55
0verheated,Ranged,71065300,116,55720,2024-11-15 03:03:55
0verheated,Prayer,14962925,100,127752,2024-11-15 03:03:55
0verheated,Magic,80368390,117,56433,2024-11-15 03:03:55
0verheated,Cooking,15378282,100,109218,2024-11-15 03:03:55
0verheated,Woodcutting,38810932,110,39277,2024-11-15 03:03:55
0verheated,Fletching,15686779,100,86206,2024-11-15 03:03:55
0verheated,Fishing,14829153,100,162269,2024-11-15 03:03:55
0verheated,Firemaking,15784726,100,122605,2024-11-15 03:03:55
0verheated,Crafting,16558503,101,97087,2024-11-15 03:03:55
0verheated,Smithing,39210488,110,45268,2024-11-15 03:03:55
0verheated,Mining,39142751,110,63123,2024-11-15 03:03:55
0verheated,Herblore,105988833,120,66383,2024-11-15 03:03:55
0verheated,Agility,15879332,100,117428,2024-11-15 03:03:55
0verheated,Thieving,17740568,102,99318,2024-11-15 03:03:55
0verheated,Slayer,124215718,120,34888,2024-11-15 03:03:55
0verheated,Farming,84784483,117,76182,2024-11-15 03:03:55
0verheated,Runecrafting,15556555,100,81645,2024-11-15 03:03:55
0verheated,Hunter,16619808,101,97320,2024-11-15 03:03:55
0verheated,Construction,16977656,101,89972,2024-11-15 03:03:55
0verheated,Summoning,15392342,100,86495,2024-11-15 03:03:55
0verheated,Dungeoneering,106603105,120,55085,2024-11-15 03:03:55
0verheated,Divination,14768191,100,115360,2024-11-15 03:03:55
0verheated,Invention,123807182,133,57641,2024-11-15 03:03:55
0verheated,Archaeology,63416081,114,94337,2024-11-15 03:03:55
0verheated,Necromancy,114783982,120,29164,2024-11-15 03:03:55
Dash 2,Overall,2622284759,3040,18958,2024-11-15 03:03:55
Dash 2,Attack,47223307,112,55599,2024-11-15 03:03:55
Dash 2,Defence,29705562,107,109693,2024-11-15 03:03:55
Dash 2,Strength,28999612,107,81872,2024-11-15 03:03:55
Dash 2,Constitution,74238550,116,79689,2024-11-15 03:03:55
Dash 2,Ranged,31841595,108,96746,2024-11-15 03:03:55
Dash 2,Prayer,105167850,120,20158,2024-11-15 03:03:55
Dash 2,Magic,42832430,111,82789,2024-11-15 03:03:55
Dash 2,Cooking,37226278,109,34334,2024-11-15 03:03:55
Dash 2,Woodcutting,105329550,120,18300,2024-11-15 03:03:55
Dash 2,Fletching,20207491,103,54762,2024-11-15 03:03:55
Dash 2,Fishing,106297828,120,24647,2024-11-15 03:03:55
Dash 2,Firemaking,105705800,120,23101,2024-11-15 03:03:55
Dash 2,Crafting,74455109,116,24066,2024-11-15 03:03:55
Dash 2,Smithing,104282982,120,25685,2024-11-15 03:03:55
Dash 2,Mining,104963329,120,29243,2024-11-15 03:03:55
Dash 2,Herblore,107004735,120,60559,2024-11-15 03:03:55
Dash 2,Agility,105261654,120,24271,2024-11-15 03:03:55
Dash 2,Thieving,105631495,120,27733,2024-11-15 03:03:55
Dash 2,Slayer,114745696,120,43859,2024-11-15 03:03:55
Dash 2,Farming,123529873,120,43591,2024-11-15 03:03:55
Dash 2,Runecrafting,104405271,120,21333,2024-11-15 03:03:55
Dash 2,Hunter,107377251,120,19296,2024-11-15 03:03:55
Dash 2,Construction,104398507,120,19962,2024-11-15 03:03:55
Dash 2,Summoning,104805176,120,23660,2024-11-15 03:03:55
Dash 2,Dungeoneering,106260307,120,56511,2024-11-15 03:03:55
Dash 2,Divination,104966606,120,18784,2024-11-15 03:03:55
Dash 2,Invention,195375441,150,36879,2024-11-15 03:03:55
Dash 2,Archaeology,106175030,120,73808,2024-11-15 03:03:55
Dash 2,Necromancy,113870444,120,29813,2024-11-15 03:03:55
Titan Rex,Overall,262709682,2662,195811,2024-11-15 03:03:55
Titan Rex,Attack,2213925,81,430020,2024-11-15 03:03:55
Titan Rex,Defence,13317280,99,246490,2024-11-15 03:03:55
Titan Rex,Strength,2281444,81,455525,2024-11-15 03:03:55
Titan Rex,Constitution,10970914,97,317442,2024-11-15 03:03:55
Titan Rex,Ranged,3162072,84,371484,2024-11-15 03:03:55
Titan Rex,Prayer,13162094,99,224370,2024-11-15 03:03:55
Titan Rex,Magic,2133778,80,454904,2024-11-15 03:03:55
Titan Rex,Cooking,5563689,90,288546,2024-11-15 03:03:55
Titan Rex,Woodcutting,4273122,87,322744,2024-11-15 03:03:55
Titan Rex,Fletching,13149266,99,204702,2024-11-15 03:03:55
Titan Rex,Fishing,4325545,87,285104,2024-11-15 03:03:55
Titan Rex,Firemaking,3735874,86,329258,2024-11-15 03:03:55
Titan Rex,Crafting,13219364,99,193425,2024-11-15 03:03:55
Titan Rex,Smithing,14101038,99,164595,2024-11-15 03:03:55
Titan Rex,Mining,11302438,97,238371,2024-11-15 03:03:55
Titan Rex,Herblore,26949321,106,134541,2024-11-15 03:03:55
Titan Rex,Agility,13477087,99,177822,2024-11-15 03:03:55
Titan Rex,Thieving,5687659,90,227540,2024-11-15 03:03:55
Titan Rex,Slayer,15865362,100,180296,2024-11-15 03:03:55
Titan Rex,Farming,6207931,91,222931,2024-11-15 03:03:55
Titan Rex,Runecrafting,5350417,90,220915,2024-11-15 03:03:55
Titan Rex,Hunter,3617984,86,244321,2024-11-15 03:03:55
Titan Rex,Construction,6695249,92,220250,2024-11-15 03:03:55
Titan Rex,Summoning,4544945,88,270291,2024-11-15 03:03:55
Titan Rex,Dungeoneering,2137957,80,325574,2024-11-15 03:03:55
Titan Rex,Divination,6474121,91,217885,2024-11-15 03:03:55
Titan Rex,Invention,19296982,85,205589,2024-11-15 03:03:55
Titan Rex,Archaeology,9818367,96,175880,2024-11-15 03:03:55
Titan Rex,Necromancy,19674457,103,102858,2024-11-15 03:03:55
Mrs Zahzr,Overall,3481772,885,794100,2024-11-15 03:03:56
Mrs Zahzr,Attack,8406,25,1225364,2024-11-15 03:03:56
Mrs Zahzr,Defence,13727,30,1145311,2024-11-15 03:03:56
Mrs Zahzr,Strength,8131,25,1214298,2024-11-15 03:03:56
Mrs Zahzr,Constitution,33661,39,1095582,2024-11-15 03:03:56
Mrs Zahzr,Ranged,0,1,0,2024-11-15 03:03:56
Mrs Zahzr,Prayer,869867,71,433557,2024-11-15 03:03:56
Mrs Zahzr,Magic,0,1,0,2024-11-15 03:03:56
Mrs Zahzr,Cooking,5943,22,1141582,2024-11-15 03:03:56
Mrs Zahzr,Woodcutting,9262,26,1180995,2024-11-15 03:03:56
Mrs Zahzr,Fletching,12246,29,816903,2024-11-15 03:03:56
Mrs Zahzr,Fishing,39028,40,909649,2024-11-15 03:03:56
Mrs Zahzr,Firemaking,792746,70,493194,2024-11-15 03:03:56
Mrs Zahzr,Crafting,577437,67,499287,2024-11-15 03:03:56
